"batter","name","pa","xba","xslg","woba","xwoba","xobp","xiso","exit_velocity_avg","barrel_batted_rate","flares_burners","solid","barrels","b_bb_percent","flare_burner_pa","solid_pa","barrel_pa","ipa"
543807," George Springer III",342,"0.248","0.507","0.381","0.361","0.339","0.26","89.4","15.4","37","15","31","0.108","0.11","0.04","0.09","0.149"
543877," Christian Vazquez",498,"0.235","0.337","0.289","0.276","0.287","0.102","86.3","2.6","97","18","9","0.066","0.19","0.04","0.02","0.091"
543939," Kolten Wong",492,"0.251","0.382","0.337","0.308","0.317","0.131","88.3","5.5","89","20","20","0.063","0.18","0.04","0.04","0.108"
544369," Didi Gregorius",408,"0.225","0.329","0.275","0.275","0.287","0.105","86.1","2.3","68","10","7","0.061","0.17","0.02","0.02","0.079"
544725," Leury Garcia",474,"0.24","0.336","0.312","0.291","0.312","0.096","86.1","3.3","78","15","11","0.086","0.16","0.03","0.02","0.093"
545341," Randal Grichuk",545,"0.235","0.405","0.3","0.298","0.278","0.17","89.8","8.5","75","25","34","0.050","0.14","0.05","0.06","0.115"
545358," Max Stassi",319,"0.23","0.418","0.327","0.322","0.317","0.188","89.8","11","43","12","20","0.088","0.13","0.04","0.06","0.123"
546318," Odubel Herrera",492,"0.252","0.378","0.312","0.302","0.306","0.125","88.9","4.7","91","22","18","0.059","0.18","0.04","0.04","0.105"
547180," Bryce Harper",599,"0.301","0.61","0.431","0.43","0.424","0.309","92.5","18.1","84","30","63","0.167","0.14","0.05","0.11","0.188"
547989," Jose Abreu",659,"0.252","0.457","0.354","0.349","0.347","0.205","92","10.2","94","39","43","0.093","0.14","0.06","0.07","0.134"
553869," Elias Diaz",371,"0.249","0.426","0.33","0.321","0.314","0.177","87.1","7.9","59","16","22","0.081","0.16","0.04","0.06","0.125"
553882," Omar Narvaez",445,"0.235","0.369","0.322","0.304","0.318","0.134","84.6","5.1","81","17","16","0.092","0.18","0.04","0.04","0.112"
553993," Eugenio Suarez",574,"0.215","0.455","0.306","0.326","0.302","0.24","89.1","15","54","10","48","0.098","0.09","0.02","0.08","0.130"
570256," Gregory Polanco",382,"0.232","0.411","0.275","0.316","0.31","0.179","89.9","9.6","55","21","23","0.094","0.14","0.05","0.06","0.129"
570482," Gio Urshela",442,"0.252","0.415","0.309","0.304","0.288","0.163","88.9","8","78","21","25","0.045","0.18","0.05","0.06","0.118"
570731," Jonathan Schoop",674,"0.258","0.404","0.324","0.311","0.305","0.147","88.1","6.8","121","21","34","0.055","0.18","0.03","0.05","0.112"
571448," Nolan Arenado",653,"0.248","0.42","0.336","0.311","0.308","0.172","89","6.7","115","34","34","0.077","0.18","0.05","0.05","0.124"
571466," Tucker Barnhart",388,"0.204","0.313","0.3","0.265","0.279","0.11","87.1","4","73","15","10","0.075","0.19","0.04","0.03","0.100"
571657," Kyle Farmer",529,"0.252","0.383","0.316","0.302","0.306","0.132","87.2","4.3","103","23","17","0.042","0.19","0.04","0.03","0.098"
571718," Brian Goodwin",271,"0.248","0.396","0.306","0.326","0.342","0.148","88.5","6.1","54","6","11","0.122","0.20","0.02","0.04","0.125"
571745," Mitch Haniger",691,"0.262","0.498","0.34","0.354","0.329","0.236","89.3","12.6","105","30","57","0.078","0.15","0.04","0.08","0.143"
571771," Enrique Hernandez",585,"0.253","0.455","0.338","0.346","0.342","0.202","90.8","8.4","93","35","33","0.104","0.16","0.06","0.06","0.133"
571788," Brock Holt",260,"0.229","0.315","0.259","0.277","0.3","0.086","86.1","1.6","50","9","3","0.088","0.19","0.03","0.01","0.091"
571970," Max Muncy",592,"0.272","0.583","0.379","0.408","0.388","0.311","91.2","16.1","72","31","61","0.140","0.12","0.05","0.10","0.175"
571976," Wil Myers",500,"0.218","0.37","0.33","0.295","0.301","0.152","88","7.5","67","12","22","0.108","0.13","0.02","0.04","0.109"
571980," Tyler Naquin",454,"0.264","0.459","0.345","0.34","0.328","0.196","89.8","10.4","79","13","32","0.077","0.17","0.03","0.07","0.134"
572041," AJ Pollock",422,"0.286","0.504","0.375","0.363","0.347","0.218","90.3","11.1","74","21","32","0.071","0.18","0.05","0.08","0.143"
572122," Kyle Seager",670,"0.222","0.454","0.308","0.32","0.295","0.232","89","12.3","76","35","54","0.088","0.11","0.05","0.08","0.138"
572191," Michael A. Taylor",528,"0.246","0.391","0.286","0.301","0.299","0.145","89.4","6.6","88","15","23","0.063","0.17","0.03","0.04","0.104"
572233," Christian Walker",445,"0.249","0.386","0.304","0.311","0.32","0.136","88.8","6.4","75","24","17","0.085","0.17","0.05","0.04","0.113"
572287," Mike Zunino",375,"0.22","0.535","0.358","0.355","0.305","0.315","90.7","24.3","29","10","48","0.091","0.08","0.03","0.13","0.166"
572816," Corey Dickerson",365,"0.25","0.377","0.317","0.3","0.307","0.127","87.8","3","64","21","7","0.068","0.18","0.06","0.02","0.093"
573131," Darin Ruf",312,"0.262","0.515","0.384","0.382","0.378","0.253","93.1","14.2","41","18","23","0.147","0.13","0.06","0.07","0.154"
573262," Mike Yastrzemski",532,"0.222","0.432","0.326","0.318","0.309","0.211","89.5","10.3","67","26","34","0.096","0.13","0.05","0.06","0.127"
575929," Willson Contreras",483,"0.24","0.448","0.337","0.347","0.344","0.209","91.8","11.1","55","25","31","0.108","0.11","0.05","0.06","0.129"
578428," Jose Iglesias",511,"0.271","0.367","0.304","0.299","0.309","0.097","85.4","3.4","115","12","14","0.041","0.23","0.02","0.03","0.096"
591720," Ronald Torreyes",344,"0.233","0.299","0.274","0.256","0.278","0.067","82.2","0.4","60","12","1","0.055","0.17","0.03","0.00","0.069"
592178," Kris Bryant",586,"0.26","0.449","0.356","0.346","0.349","0.189","88.2","10.3","95","23","39","0.106","0.16","0.04","0.07","0.139"
592192," Mark Canha",625,"0.231","0.378","0.333","0.332","0.358","0.147","87.3","7.1","92","23","28","0.123","0.15","0.04","0.04","0.120"
592206," Nick Castellanos",585,"0.293","0.535","0.391","0.374","0.35","0.241","89.8","10.6","100","47","43","0.070","0.17","0.08","0.07","0.147"
592325," Ben Gamel",400,"0.23","0.373","0.322","0.315","0.335","0.143","89","7.9","53","21","19","0.128","0.13","0.05","0.05","0.124"
592348," Niko Goodrum",325,"0.215","0.381","0.286","0.304","0.297","0.166","88","10.3","47","12","18","0.089","0.14","0.04","0.06","0.119"
592450," Aaron Judge",633,"0.308","0.594","0.387","0.418","0.394","0.286","95.8","17.6","90","35","70","0.118","0.14","0.06","0.11","0.181"
592518," Manny Machado",640,"0.295","0.531","0.35","0.38","0.367","0.236","93.1","13.3","113","32","63","0.098","0.18","0.05","0.10","0.171"
592567," Colin Moran",359,"0.245","0.391","0.318","0.315","0.323","0.146","89.1","8.1","67","9","19","0.100","0.19","0.03","0.05","0.127"
592626," Joc Pederson",481,"0.244","0.441","0.315","0.333","0.319","0.197","91","10.1","66","29","31","0.081","0.14","0.06","0.06","0.129"
592663," J.T. Realmuto",537,"0.253","0.416","0.336","0.329","0.335","0.164","89.6","8.6","93","21","30","0.089","0.17","0.04","0.06","0.127"
592669," Hunter Renfroe",572,"0.26","0.506","0.344","0.354","0.32","0.245","90.1","14.4","74","25","56","0.077","0.13","0.04","0.10","0.151"
592696," Eddie Rosario",412,"0.255","0.427","0.316","0.319","0.305","0.172","88.5","5.9","71","29","18","0.063","0.17","0.07","0.04","0.116"
592743," Andrelton Simmons",451,"0.23","0.281","0.252","0.261","0.29","0.05","84.1","0.6","77","4","2","0.071","0.17","0.01","0.00","0.068"
592885," Christian Yelich",475,"0.254","0.392","0.325","0.337","0.368","0.138","91","7.6","60","23","22","0.147","0.13","0.05","0.05","0.126"
593160," Whit Merrifield",720,"0.263","0.384","0.306","0.301","0.307","0.12","86.8","3.5","151","40","20","0.056","0.21","0.06","0.03","0.105"
593428," Xander Bogaerts",603,"0.28","0.468","0.368","0.359","0.359","0.189","89.6","9.7","104","25","41","0.103","0.17","0.04","0.07","0.142"
593643," Hanser Alberto",255,"0.265","0.384","0.296","0.294","0.29","0.12","87.1","4.5","57","10","9","0.016","0.22","0.04","0.04","0.100"
593871," Jorge Polanco",644,"0.267","0.488","0.349","0.348","0.323","0.22","89.4","10.1","109","28","47","0.070","0.17","0.04","0.07","0.137"
593934," Miguel Sano",532,"0.216","0.44","0.332","0.322","0.306","0.224","93.4","17.7","58","15","50","0.111","0.11","0.03","0.09","0.149"
594807," Adam Duvall",555,"0.227","0.499","0.324","0.33","0.281","0.271","89.8","16.1","69","17","54","0.063","0.12","0.03","0.10","0.142"
594809," Adam Eaton",288,"0.216","0.309","0.271","0.275","0.296","0.093","86.6","4.3","43","10","8","0.076","0.15","0.03","0.03","0.091"
594838," Phil Gosselin",373,"0.24","0.354","0.297","0.288","0.295","0.114","87.6","3.4","64","21","9","0.064","0.17","0.06","0.02","0.095"
595281," Kevin Kiermaier",390,"0.232","0.32","0.31","0.283","0.308","0.088","86.6","4","69","8","10","0.085","0.18","0.02","0.03","0.095"
595751," Jorge Alfaro",311,"0.247","0.381","0.274","0.292","0.285","0.134","90.9","8.2","55","11","16","0.035","0.18","0.04","0.05","0.107"
595777," Jurickson Profar",412,"0.238","0.323","0.293","0.302","0.339","0.085","85.3","2.7","71","10","8","0.119","0.17","0.02","0.02","0.099"
595879," Javier Baez",547,"0.241","0.456","0.344","0.325","0.299","0.214","90.1","13.4","66","23","43","0.051","0.12","0.04","0.08","0.124"
595978," Austin Hedges",312,"0.194","0.29","0.227","0.231","0.235","0.096","85.7","3.8","46","5","7","0.048","0.15","0.02","0.02","0.073"
596019," Francisco Lindor",524,"0.254","0.453","0.317","0.345","0.345","0.199","90.7","8.2","78","28","29","0.111","0.15","0.05","0.06","0.131"
596059," Rougned Odor",361,"0.202","0.374","0.289","0.29","0.287","0.172","89.1","9","40","17","20","0.075","0.11","0.05","0.06","0.109"
596103," Austin Slater",306,"0.256","0.439","0.321","0.335","0.334","0.183","87.1","9.5","51","12","17","0.092","0.17","0.04","0.06","0.126"
596115," Trevor Story",595,"0.245","0.451","0.341","0.336","0.326","0.206","90.6","9.9","81","26","39","0.089","0.14","0.04","0.07","0.128"
596129," Daniel Vogelbach",258,"0.237","0.389","0.323","0.335","0.364","0.152","91.4","8.2","39","11","13","0.167","0.15","0.04","0.05","0.140"
596142," Gary Sanchez",440,"0.228","0.452","0.314","0.336","0.328","0.224","89.5","13.7","55","13","36","0.118","0.13","0.03","0.08","0.144"
596146," Max Kepler",490,"0.255","0.452","0.309","0.347","0.347","0.197","89.8","10.8","69","22","36","0.110","0.14","0.04","0.07","0.142"
596748," Maikel Franco",403,"0.224","0.344","0.263","0.27","0.269","0.119","88.2","5.1","67","14","16","0.050","0.17","0.03","0.04","0.098"
596847," Ji-Man Choi",305,"0.237","0.424","0.334","0.342","0.354","0.187","91.2","9.4","42","18","16","0.148","0.14","0.06","0.05","0.137"
598265," Jackie Bradley Jr.",428,"0.199","0.295","0.224","0.258","0.27","0.096","89.7","5","58","17","13","0.065","0.14","0.04","0.03","0.088"
600474," Pedro Severino",419,"0.249","0.401","0.299","0.311","0.312","0.151","88.2","7.6","63","21","21","0.081","0.15","0.05","0.05","0.117"
600869," Jeimer Candelario",626,"0.278","0.465","0.344","0.357","0.358","0.187","88.7","9","119","28","38","0.104","0.19","0.04","0.06","0.141"
