last_name, first_name,player_id,year,b_total_pa,b_bb_percent,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate
Bryant, Kris,592178,2021,586,10.6,0.26,0.449,0.356,0.346,0.349,0.189,88.2,15.1,10.3
Canha, Mark,592192,2021,625,12.3,0.231,0.378,0.333,0.332,0.358,0.147,87.3,13.5,7.1
Castellanos, Nick,592206,2021,585,7,0.293,0.535,0.391,0.374,0.35,0.241,89.8,14,10.6
Gamel, Ben,592325,2021,400,12.8,0.23,0.373,0.322,0.315,0.335,0.143,89,16.7,7.9
Goodrum, Niko,592348,2021,325,8.9,0.215,0.381,0.286,0.304,0.297,0.166,88,13.4,10.3
Judge, Aaron,592450,2021,633,11.8,0.308,0.594,0.387,0.418,0.394,0.286,95.8,11.6,17.6
Machado, Manny,592518,2021,640,9.8,0.295,0.531,0.35,0.38,0.367,0.236,93.1,14,13.3
Moran, Colin,592567,2021,359,10,0.245,0.391,0.318,0.315,0.323,0.146,89.1,7.2,8.1
Pederson, Joc,592626,2021,481,8.1,0.244,0.441,0.315,0.333,0.319,0.197,91,14.1,10.1
Realmuto, J.T.,592663,2021,537,8.9,0.253,0.416,0.336,0.329,0.335,0.164,89.6,11.5,8.6
Renfroe, Hunter,592669,2021,572,7.7,0.26,0.506,0.344,0.354,0.32,0.245,90.1,15.6,14.4
Rosario, Eddie,592696,2021,412,6.3,0.255,0.427,0.316,0.319,0.305,0.172,88.5,15.5,5.9
Simmons, Andrelton,592743,2021,451,7.1,0.23,0.281,0.252,0.261,0.29,0.05,84.1,3.9,0.6
Yelich, Christian,592885,2021,475,14.7,0.254,0.392,0.325,0.337,0.368,0.138,91,2.8,7.6
Merrifield, Whit,593160,2021,720,5.6,0.263,0.384,0.306,0.301,0.307,0.12,86.8,13.9,3.5
Bogaerts, Xander,593428,2021,603,10.3,0.28,0.468,0.368,0.359,0.359,0.189,89.6,12.5,9.7
Alberto, Hanser,593643,2021,255,1.6,0.265,0.384,0.296,0.294,0.29,0.12,87.1,16.1,4.5
Polanco, Jorge,593871,2021,644,7,0.267,0.488,0.349,0.348,0.323,0.22,89.4,19.3,10.1
Sano, Miguel,593934,2021,532,11.1,0.216,0.44,0.332,0.322,0.306,0.224,93.4,17.6,17.7
Duvall, Adam,594807,2021,555,6.3,0.227,0.499,0.324,0.33,0.281,0.271,89.8,23.6,16.1
Eaton, Adam,594809,2021,288,7.6,0.216,0.309,0.271,0.275,0.296,0.093,86.6,8.3,4.3
Gosselin, Phil,594838,2021,373,6.4,0.24,0.354,0.297,0.288,0.295,0.114,87.6,11.5,3.4
Kiermaier, Kevin,595281,2021,390,8.5,0.232,0.32,0.31,0.283,0.308,0.088,86.6,1.1,4
Alfaro, Jorge,595751,2021,311,3.5,0.247,0.381,0.274,0.292,0.285,0.134,90.9,1.8,8.2
Profar, Jurickson,595777,2021,412,11.9,0.238,0.323,0.293,0.302,0.339,0.085,85.3,14,2.7
Baez, Javier,595879,2021,547,5.1,0.241,0.456,0.344,0.325,0.299,0.214,90.1,10.6,13.4
Hedges, Austin,595978,2021,312,4.8,0.194,0.29,0.227,0.231,0.235,0.096,85.7,18.9,3.8
Lindor, Francisco,596019,2021,524,11.1,0.254,0.453,0.317,0.345,0.345,0.199,90.7,14.4,8.2
Odor, Rougned,596059,2021,361,7.5,0.202,0.374,0.289,0.29,0.287,0.172,89.1,19.6,9
Slater, Austin,596103,2021,306,9.2,0.256,0.439,0.321,0.335,0.334,0.183,87.1,7.8,9.5
Story, Trevor,596115,2021,595,8.9,0.245,0.451,0.341,0.336,0.326,0.206,90.6,17.5,9.9
Vogelbach, Daniel,596129,2021,258,16.7,0.237,0.389,0.323,0.335,0.364,0.152,91.4,11.7,8.2
Sanchez, Gary,596142,2021,440,11.8,0.228,0.452,0.314,0.336,0.328,0.224,89.5,20.5,13.7
Kepler, Max,596146,2021,490,11,0.255,0.452,0.309,0.347,0.347,0.197,89.8,16.3,10.8
Franco, Maikel,596748,2021,403,5,0.224,0.344,0.263,0.27,0.269,0.119,88.2,9.1,5.1
Choi, Ji-Man,596847,2021,305,14.8,0.237,0.424,0.334,0.342,0.354,0.187,91.2,14.8,9.4
Bradley Jr., Jackie,598265,2021,428,6.5,0.199,0.295,0.224,0.258,0.27,0.096,89.7,9.6,5
Severino, Pedro,600474,2021,419,8.1,0.249,0.401,0.299,0.311,0.312,0.151,88.2,15.2,7.6
Candelario, Jeimer,600869,2021,626,10.4,0.278,0.465,0.344,0.357,0.358,0.187,88.7,12.6,9
Daza, Yonathan,602074,2021,331,6.3,0.26,0.335,0.304,0.292,0.315,0.075,85.2,6.6,2
Urias, Ramon,602104,2021,296,9.5,0.27,0.427,0.341,0.344,0.354,0.156,89.6,5.2,9.7
Ahmed, Nick,605113,2021,473,7.2,0.208,0.29,0.269,0.249,0.268,0.083,87.2,10.1,2.4
Anderson, Brian,605119,2021,264,9.8,0.215,0.374,0.314,0.299,0.307,0.159,88.8,11.3,7.7
Bell, Josh,605137,2021,568,11.4,0.277,0.488,0.352,0.367,0.363,0.211,92.5,4.9,8.8
Betts, Mookie,605141,2021,550,12.4,0.263,0.445,0.365,0.357,0.369,0.182,90.3,18.9,7.8
Caratini, Victor,605170,2021,356,9.8,0.228,0.356,0.273,0.291,0.313,0.128,90,8.4,6.8
Panik, Joe,605412,2021,257,6.6,0.238,0.324,0.244,0.273,0.293,0.086,86.5,9.7,1.5
Zimmer, Bradley,605548,2021,348,8.6,0.225,0.372,0.3,0.317,0.327,0.147,90.7,7,9.4
Castro, Harold,605612,2021,339,4.1,0.287,0.414,0.291,0.315,0.315,0.127,88.6,10.2,3.2
Tapia, Raimel,606132,2021,533,7.5,0.25,0.318,0.305,0.281,0.307,0.068,85.7,-4.4,2.1
Hernandez, Teoscar,606192,2021,595,6.1,0.284,0.537,0.369,0.37,0.336,0.252,91.8,13.1,13.9
Mercedes, Yermin,606213,2021,262,7.6,0.246,0.417,0.317,0.313,0.306,0.17,87.3,15.8,7.2
Marte, Ketel,606466,2021,374,8.3,0.307,0.495,0.385,0.372,0.37,0.188,91.1,10.3,8.9
Haase, Eric,606992,2021,381,6.8,0.235,0.463,0.316,0.322,0.291,0.228,90.9,16,13.7
